ep	rp	QLp	ed	rd	QLd	deltar
0.991920404434204	13.3770850239524	17267.859375	0.700813000202179	11.1987297937638	13477.16796875	3.50872617454709
1.22410091400147	17.1666476398484	21012.234375	1.16365291595459	17.0659238498249	20716.328125	2.92714746775054
1.22410091400147	17.1666476398484	21012.234375	1.09307413578033	16.7857443879996	20164.76171875	2.94540010371264
0.954538187980652	11.0329761381626	19417.7265625	1.96288172721863	13.3929672755348	29468.26171875	2.73834012643842
0.770317044258118	15.897054363524	16417.009765625	1.99762971878052	17.0364475505398	27464.2109375	1.97024935557042
1.4588104724884	16.2752513312365	23597.18359375	0.997640814781189	16.2451514331571	18962.76953125	1.38814185874694
1.45428647994995	16.9824224734702	22901.080078125	2.44460500717163	16.8225454539381	31469.69140625	2.73323282239446
1.98969798088074	17.0001252389645	28201.14453125	1.86988291740417	17.0467499281097	27490.80859375	3.30662643838849
2.06808116912842	16.8338350772103	28852.986328125	1.23988718032837	17.1785373255199	21254.701171875	3.58539588138104
0.954161682128906	17.1036262055723	17195.37890625	0.887471561431885	14.2771657148813	18108.052734375	3.62294919092989
1.90556619644165	16.0759813142591	27957.203125	1.15143550395966	17.0519714138895	20238.8125	2.40031764045755
1.90556619644165	16.0759813142591	27957.203125	2.33379230499268	16.8615323168254	31970.583984375	3.86984950023767
1.90556619644165	16.0759813142591	27957.203125	0.881066191196442	17.1512760329397	18579.099609375	2.47997926457227
1.90556619644165	16.0759813142591	27957.203125	1.19943424224854	17.053257514466	20579.63671875	3.04481499988449
0.778885924816132	14.2941383836713	16986.05859375	1.20526026725769	15.7771506552453	21164.267578125	2.08222797292106
0.778885924816132	14.2941383836713	16986.05859375	0.75115505695343	15.9302589967601	16177.328125	3.43629420105012
0.899294371604919	9.15110853612874	18629.447265625	0.859202311038971	10.6648892150039	18493.091796875	3.29866521450504
1.20526026725769	15.7771506552453	21164.267578125	0.75115505695343	15.9302589967601	16177.328125	3.32205467331208
0.75115505695343	15.9302589967601	16177.328125	0.796712045669556	15.7974092372794	16530.544921875	0.914686925279902
0.75115505695343	15.9302589967601	16177.328125	2.30828444480896	17.15672169051	30004.095703125	3.37839104675835
1.04972792625427	15.2572347959967	19158.05078125	0.887471561431885	14.2771657148813	18108.052734375	3.42721289860468
0.842983496189117	15.5407872749449	17984.529296875	0.997640814781189	16.2451514331571	18962.76953125	3.22527020883096
1.73553119659424	17.1856054396945	25781.265625	1.13335225582123	15.0555529281227	20897.08984375	2.38309104643579
0.796712045669556	15.7974092372794	16530.544921875	2.30828444480896	17.15672169051	30004.095703125	3.06752607626779
2.38197364807129	17.1275752947241	31208.6953125	1.14219624996185	17.1876080105192	19829.486328125	2.36397491552689
2.38197364807129	17.1275752947241	31208.6953125	2.07450644493103	17.1269594163321	28734.15234375	3.68920037781825
1.15143550395966	17.0519714138895	20238.8125	2.33379230499268	16.8615323168254	31970.583984375	2.53643950157651
1.15143550395966	17.0519714138895	20238.8125	1.19943424224854	17.053257514466	20579.63671875	3.24706314001702
1.96288172721863	13.3929672755348	29468.26171875	0.810432136058807	14.8471085514706	16909.595703125	3.39170906324487
1.96288172721863	13.3929672755348	29468.26171875	0.943625659942627	14.2112723377778	17695.7890625	3.25967248138462
1.78750578403473	17.1291774202255	26976.947265625	2.40094436645508	17.1297086008111	30704.05859375	3.91477234796708
0.881376729011536	13.7929659222768	17969.36328125	1.15074018001556	17.1913095213252	19634.19921875	3.89628110191775
2.33379230499268	16.8615323168254	31970.583984375	1.19943424224854	17.053257514466	20579.63671875	2.40209991071865
1.31712878704071	17.037724818136	20722.986328125	1.25478773117065	16.3873540690992	22109.748046875	2.73154652233518
2.31300124168396	17.1673121223157	29823.33984375	2.48987893104553	16.7768009023617	31641.49609375	0.580091024577569
0.881066191196442	17.1512760329397	18579.099609375	1.19943424224854	17.053257514466	20579.63671875	3.34496022188658
2.30170694351196	17.0652067844351	30773.900390625	2.42985010147095	16.7347574740462	33483.4765625	3.73136829561171
1.17271811962128	16.9104305525699	19912.599609375	4.0557653427124	15.9073700025819	43911.94140625	3.94240121066062
1.17271811962128	16.9104305525699	19912.599609375	1.97014972686768	16.1239065552788	27747.435546875	2.00343559319879
1.6048703956604	16.9881689975026	24289.701171875	1.01001483917236	16.9869056733917	18451.533203125	3.48888056602047
1.14219624996185	17.1876080105192	19829.486328125	2.07450644493103	17.1269594163321	28734.15234375	3.25104173300087
0.841489701271057	17.1935151214248	17060.181640625	2.12162813186646	16.543393792768	29168.2109375	3.80160264770835
0.943625659942627	14.2112723377778	17695.7890625	1.50930404186249	13.9585535965015	25217.994140625	1.94763580472939
1.37890031337738	17.0449244435748	21999.1640625	2.43816284179687	16.8833259450844	30993.849609375	3.80573694017494
1.01001483917236	16.9869056733917	18451.533203125	2.38014891624451	17.1222243329475	30579.517578125	2.11509621658231
1.01001483917236	16.9869056733917	18451.533203125	1.50930404186249	13.9585535965015	25217.994140625	3.26411919156517
1.01001483917236	16.9869056733917	18451.533203125	2.3809047794342	16.8990366075132	32116.46875	3.01571095382875
2.12162813186646	16.543393792768	29168.2109375	2.44589782714844	16.8279627253234	30942.04296875	2.10482046938077
2.12162813186646	16.543393792768	29168.2109375	0.747850019931793	17.1913097245584	15397.8623046875	2.91274195635844
2.38327085494995	16.8320204584423	32306.986328125	0.729430131912231	16.0900688446476	16118.1552734375	2.7362143772038
2.38327085494995	16.8320204584423	32306.986328125	1.17064092159271	17.1667786124025	19827.009765625	3.27520867437565
